run_id,model_id,defense_id,attack_id,split,num_samples,seed,epsilon,alpha,attack_steps,clean_accuracy,robust_accuracy,attack_success_rate,mean_l2,mean_l2_successful,mean_linf,mean_linf_successful,attack_time_seconds,defense_time_seconds,total_time_seconds,checkpoint_name
rand_smooth__fgsm__eps8__sigma0p25__votes100__seed42,resnet20,rand_smooth,fgsm,test,10000,42,0.0313725490196078,,1.0,0.7515,0.3462,0.5393213572854292,1.7235466911315918,1.725878523274348,0.0313725769519805,0.0313725769960995,2.3466702940004325,104.98419617400124,107.81698692699956,resnet20_rand_smooth_sigma0p25_best.pt
rand_smooth__fgsm__eps16__sigma0p25__votes100__seed42,resnet20,rand_smooth,fgsm,test,10000,42,0.0627450980392156,,1.0,0.7515,0.1157,0.84604125083167,3.429572322463989,3.432367588222008,0.0627451241016388,0.0627451242235105,2.355948729010379,104.93109958399054,107.79009827900065,resnet20_rand_smooth_sigma0p25_best.pt
rand_smooth__pgd__eps8__alpha2__steps20__sigma0p25__votes100__seed42,resnet20,rand_smooth,pgd,test,10000,42,0.0313725490196078,0.0078431372549019,20.0,0.7515,0.3126,0.5840319361277445,1.6402393110275268,1.6429455905548396,0.0313725769519805,0.0313725768297564,26.920929835996503,104.6807103500023,132.08778127599908,resnet20_rand_smooth_sigma0p25_best.pt
rand_smooth__deepfool__steps50__sigma0p25__votes100__seed42,resnet20,rand_smooth,deepfool,test,10000,42,,,50.0,0.7515,0.7149,0.0754491017964071,0.4265807119965553,0.4607741375726021,0.0488114302828908,0.0552839418607098,710.565311796995,102.3774979980144,815.1573369049993,resnet20_rand_smooth_sigma0p25_best.pt
rand_smooth__cw_l2__steps100__sigma0p25__votes100__seed42,resnet20,rand_smooth,cw_l2,test,10000,42,,,100.0,0.7515,0.7095,0.0682634730538922,0.330153094625473,0.3170133484300469,0.0380794267535209,0.0392874556849574,251.9126531809943,102.68693261500266,355.32997608499954,resnet20_rand_smooth_sigma0p25_best.pt
resnet20__none__clean__diffusion_subset__seed42,resnet20,none,clean,diffusion_subset,200,42,,,,0.875,0.875,0.0,0.0,,0.0,,0.0,0.0,0.01683688499906566,resnet20_clean_best.pt
fair_subset__none__fgsm__eps2__seed42,resnet20,none,fgsm,diffusion_subset,200,42,0.0078431372549019,,1.0,0.875,0.08,0.9085714285714286,0.4312959909439087,0.4322597086429596,0.0078431656584143,0.0078431675210595,0.0578761190008663,0.0,0.0895559219989081,resnet20_clean_best.pt
fair_subset__none__fgsm__eps4__seed42,resnet20,none,fgsm,diffusion_subset,200,42,0.0156862745098039,,1.0,0.875,0.035,0.96,0.8608987927436829,0.8615920543670654,0.0156863033771514,0.0156863033771514,0.0493554999993648,0.0,0.0808782999993127,resnet20_clean_best.pt
fair_subset__none__fgsm__eps8__seed42,resnet20,none,fgsm,diffusion_subset,200,42,0.0313725490196078,,1.0,0.875,0.035,0.96,1.7172636985778809,1.7186639308929443,0.0313725806772708,0.0313725732266902,0.0489077570000517,0.0,0.0804650449990731,resnet20_clean_best.pt
fair_subset__none__fgsm__eps16__seed42,resnet20,none,fgsm,diffusion_subset,200,42,0.0627450980392156,,1.0,0.875,0.055,0.9428571428571428,3.417860746383667,3.4195892810821533,0.0627451241016388,0.0627451241016388,0.0480183840008976,0.0,0.0795932490000268,resnet20_clean_best.pt
fair_subset__none__pgd__eps8__alpha2__steps20__seed42,resnet20,none,pgd,diffusion_subset,200,42,0.0313725490196078,0.0078431372549019,20.0,0.875,0.0,1.0,1.3668981790542605,1.3677233457565308,0.0313725806772708,0.0313725732266902,0.6748972250006773,0.0,0.7011085109988926,resnet20_clean_best.pt
fair_subset__none__deepfool__steps50__seed42,resnet20,none,deepfool,diffusion_subset,200,42,,,50.0,0.875,0.05,1.0,0.0991055369377136,0.1086077988147735,0.0121805667877197,0.0133327562361955,17.787515816999075,0.0,17.818748926998524,resnet20_clean_best.pt
fair_subset__none__cw_l2__steps100__seed42,resnet20,none,cw_l2,diffusion_subset,200,42,,,100.0,0.875,0.0,1.0,0.1530239135026931,0.1748840808868408,0.0179259348660707,0.0204867515712976,6.256399995998436,0.0,6.2825988459972,resnet20_clean_best.pt
resnet20__pgd_at__clean__diffusion_subset__seed42,resnet20,pgd_at,clean,diffusion_subset,200,42,,,,0.68,0.68,0.0,0.0,,0.0,,0.0,0.0,0.014844409999568597,resnet20_pgd_at_eps8_best.pt
fair_subset__pgd_at__fgsm__eps2__seed42,resnet20,pgd_at,fgsm,diffusion_subset,200,42,0.0078431372549019,,1.0,0.68,0.595,0.125,0.4317623078823089,0.43366339802742,0.0078431656584143,0.0078431665897369,0.0418624419999105,0.0,0.0663267079999059,resnet20_pgd_at_eps8_best.pt
fair_subset__pgd_at__fgsm__eps4__seed42,resnet20,pgd_at,fgsm,diffusion_subset,200,42,0.0156862745098039,,1.0,0.68,0.55,0.1911764705882352,0.8620962500572205,0.8665673136711121,0.0156863033771514,0.0156863033771514,0.0390629329995135,0.0,0.0636310379995848,resnet20_pgd_at_eps8_best.pt
fair_subset__pgd_at__fgsm__eps8__seed42,resnet20,pgd_at,fgsm,diffusion_subset,200,42,0.0313725490196078,,1.0,0.68,0.425,0.375,1.720374584197998,1.7313275337219238,0.0313725806772708,0.0313725806772708,0.0468647069992584,0.0,0.0743660409989388,resnet20_pgd_at_eps8_best.pt
fair_subset__pgd_at__fgsm__eps16__seed42,resnet20,pgd_at,fgsm,diffusion_subset,200,42,0.0627450980392156,,1.0,0.68,0.235,0.6544117647058824,3.426769495010376,3.4506616592407227,0.0627451241016388,0.0627451241016388,0.0551646130006702,0.0,0.084622460999526,resnet20_pgd_at_eps8_best.pt
fair_subset__pgd_at__pgd__eps8__alpha2__steps20__seed42,resnet20,pgd_at,pgd,diffusion_subset,200,42,0.0313725490196078,0.0078431372549019,20.0,0.68,0.39,0.4264705882352941,1.677803635597229,1.687625527381897,0.0313725806772708,0.0313725806772708,0.6706154949988559,0.0,0.6948312309978064,resnet20_pgd_at_eps8_best.pt
fair_subset__pgd_at__deepfool__steps50__seed42,resnet20,pgd_at,deepfool,diffusion_subset,200,42,,,50.0,0.68,0.175,1.0,0.9141886830329896,1.1457395553588867,0.1862051337957382,0.2347374558448791,16.056975884001076,0.0,16.08613603699996,resnet20_pgd_at_eps8_best.pt
fair_subset__pgd_at__cw_l2__steps100__seed42,resnet20,pgd_at,cw_l2,diffusion_subset,200,42,,,100.0,0.68,0.295,0.5661764705882353,0.387211263179779,0.5284128785133362,0.0916405469179153,0.1245764717459678,6.361959326000942,0.0,6.389572194999346,resnet20_pgd_at_eps8_best.pt
resnet20__rand_smooth__clean__diffusion_subset__seed42,resnet20,rand_smooth,clean,diffusion_subset,200,42,,,,0.76,0.76,0.0,0.0,,0.0,,0.0,1.0992939850002585,1.0992939850002585,resnet20_rand_smooth_sigma0p25_best.pt
fair_subset__rand_smooth__fgsm__eps2__sigma0p25__votes100__seed42,resnet20,rand_smooth,fgsm,diffusion_subset,200,42,0.0078431372549019,,1.0,0.76,0.645,0.1513157894736842,0.4312138259410858,0.4336414337158203,0.0078431656584143,0.0078431665897369,0.0411376289994223,2.1457184050013893,2.186856034000812,resnet20_rand_smooth_sigma0p25_best.pt
fair_subset__rand_smooth__fgsm__eps4__sigma0p25__votes100__seed42,resnet20,rand_smooth,fgsm,diffusion_subset,200,42,0.0156862745098039,,1.0,0.76,0.595,0.2171052631578947,0.8606978058815002,0.865523636341095,0.0156863033771514,0.0156863033771514,0.0377917660007369,2.150507465001283,2.18829923100202,resnet20_rand_smooth_sigma0p25_best.pt
fair_subset__rand_smooth__fgsm__eps8__sigma0p25__votes100__seed42,resnet20,rand_smooth,fgsm,diffusion_subset,200,42,0.0313725490196078,,1.0,0.76,0.385,0.4934210526315789,1.717073917388916,1.7239733934402466,0.0313725806772708,0.0313725769519805,0.0400510850013233,2.153293765000853,2.193344850002177,resnet20_rand_smooth_sigma0p25_best.pt
fair_subset__rand_smooth__fgsm__eps16__sigma0p25__votes100__seed42,resnet20,rand_smooth,fgsm,diffusion_subset,200,42,0.0627450980392156,,1.0,0.76,0.085,0.8881578947368421,3.418384790420532,3.428308725357056,0.0627451241016388,0.0627451241016388,0.0384946729991497,2.160680292001416,2.199174965000566,resnet20_rand_smooth_sigma0p25_best.pt
fair_subset__rand_smooth__pgd__eps8__alpha2__steps20__sigma0p25__votes100__seed42,resnet20,rand_smooth,pgd,diffusion_subset,200,42,0.0313725490196078,0.0078431372549019,20.0,0.76,0.32,0.5789473684210527,1.6366583108901978,1.6471840143203735,0.0313725806772708,0.0313725732266902,0.600010377000217,2.162888703000135,2.762899080000352,resnet20_rand_smooth_sigma0p25_best.pt
fair_subset__rand_smooth__deepfool__steps50__sigma0p25__votes100__seed42,resnet20,rand_smooth,deepfool,diffusion_subset,200,42,,,50.0,0.76,0.71,0.0921052631578947,0.4135132730007171,0.4734852910041809,0.0468397587537765,0.0597023032605648,15.252734007999608,2.126615042001504,17.37934905000111,resnet20_rand_smooth_sigma0p25_best.pt
fair_subset__rand_smooth__cw_l2__steps100__sigma0p25__votes100__seed42,resnet20,rand_smooth,cw_l2,diffusion_subset,200,42,,,100.0,0.76,0.705,0.0723684210526315,0.3342134058475494,0.3872506022453308,0.0388278737664222,0.0518877394497394,6.098710840999047,2.131302906000201,8.230013746999248,resnet20_rand_smooth_sigma0p25_best.pt
resnet20__diff_purify__clean__diffusion_subset__seed42,resnet20,diff_purify,clean,diffusion_subset,200,42,,,,0.82,0.82,0.0,0.0,,0.0,,0.0,35.79009349300031,35.81471902500107,resnet20_clean_best.pt
diff_purify__fgsm__eps2__t50__seed42,resnet20,diff_purify,fgsm,diffusion_subset,200,42,0.0078431372549019,,1.0,0.82,0.745,0.0914634146341463,0.4312959909439087,0.4336180686950683,0.0078431656584143,0.0078431665897369,0.0506572809990757,72.60337543900096,72.68974813800105,resnet20_clean_best.pt
diff_purify__fgsm__eps4__t50__seed42,resnet20,diff_purify,fgsm,diffusion_subset,200,42,0.0156862745098039,,1.0,0.82,0.67,0.1829268292682926,0.8608987927436829,0.8609032034873962,0.0156863033771514,0.0156863033771514,0.0465528599997924,69.7773968750007,69.85885043800135,resnet20_clean_best.pt
diff_purify__fgsm__eps8__t50__seed42,resnet20,diff_purify,fgsm,diffusion_subset,200,42,0.0313725490196078,,1.0,0.82,0.465,0.4329268292682927,1.7172636985778809,1.7093019485473633,0.0313725806772708,0.0313725769519805,0.0383461530000204,70.42269300599946,70.49646803899941,resnet20_clean_best.pt
diff_purify__fgsm__eps16__t50__seed42,resnet20,diff_purify,fgsm,diffusion_subset,200,42,0.0627450980392156,,1.0,0.82,0.155,0.823170731707317,3.417860746383667,3.423451662063598,0.0627451241016388,0.0627451241016388,0.0461981339994963,70.37360088499918,70.45502314499845,resnet20_clean_best.pt
diff_purify__pgd__eps8__alpha2__steps20__t50__seed42,resnet20,diff_purify,pgd,diffusion_subset,200,42,0.0313725490196078,0.0078431372549019,20.0,0.82,0.55,0.3353658536585366,1.3668981790542605,1.3778810501098633,0.0313725806772708,0.0313725806772708,0.6077775269986887,70.25691602799998,70.90017405499839,resnet20_clean_best.pt
diff_purify__deepfool__steps50__t50__seed42,resnet20,diff_purify,deepfool,diffusion_subset,200,42,,,50.0,0.82,0.815,0.0060975609756097,0.0991055369377136,0.0219581145793199,0.0121805667877197,0.0027855932712554,17.533819515998402,71.2630378820013,88.83394983800008,resnet20_clean_best.pt
diff_purify__cw_l2__steps100__t50__seed42,resnet20,diff_purify,cw_l2,diffusion_subset,200,42,,,100.0,0.82,0.805,0.0182926829268292,0.1530239135026931,0.0992954149842262,0.0179259348660707,0.0136278374120593,5.894082345001152,70.1806724979997,76.11002174600162,resnet20_clean_best.pt
